Only don't know, go straight | lewis
Mass-producing sense | hyacinth
Ordering "moss on the rocks" at a bar | hyacinth
Hope it climbs | hyacinth
Your Mind may never escape / Your body may | hyacinth
Running the gears / Nothing to fear | hyacinth
We are the problem, the solution, and the method | hyacinth
The city guard is fluctuating | hyacinth
The government can't take them down anymore | hyacinth
Try and view yourself from your own perspective sometime | hyacinth
A chain of subjects | hyacinth
The meaning is your own | tom
It's simply the nature of scarcity | hyacinth
We worry about the small stuff &exclusively& | hyacinth
Not enough smiles to go around | hyacinth
Prepared to be packaged, sanded, or steamed | hyacinth
Only taking value from the &elder kin& | hyacinth
A dash of wisdom | hyacinth
A woefully similar bubble | hyacinth
It never takes a long time, and it's disappointing  | hyacinth
The chanting alludes to a foreign, yet nostalgic dream | tom
The beast's reflection is subtle, but comforting | hyacinth
Gonna challenge his handwriting | tom
The deeplings bubble up and take your moisture | tom
Forced confusion, disorientation, and curiosity | henry
Science in the details / Nature in the abstract | henry
We wouldn't want to &defend& anyone | henry
A whole host, if we're being honest | hyacinth
The line grows, ever higher, ever wider | hyacinth
Hiding in the credits of someone else's work | hyacinth
We live, gilded / The continued electrical shocks keep the metal &ionized& to our skin | hyacinth
You may not coalesce, but you're still strong | hyacinth
Scaling the cliffs as they crumble / Jump to the next ledge, jump to the last | hyacinth
Uneven numbers / Not quite odd, not quite normal | hyacinth
Free time is where you start to apply / Caged time is where you start to learn | hyacinth
There is no wisdom here, but viewing the ever stranger waterfall may lead to understanding | hyacinth
The numbers scream as they are crunched | hyacinth
Soul: shared / Downfall: duality | hyacinth
I have claimed this spot with my lingonberries and paper | wesley
Cloth-filled infants | wesley
The ever-present wish to defenestrate... ʏᴏᴜ | shannon
Polygons speak to me in my sleep | wesley
I'm shoveling sand into the crevasses of my mind | wesley
Curtailing the absolute | hyacinth
Forty-several millimeters | wesley
Stay wary, for the worm is turning several-teen in the near future | wesley
Ironing of the intestines / I want them pressed crisp | hyacinth
Dilute the absolute | tom
Disillusion of the phalanges | wesley
I'm not stealing it from you I'm just taking it when you don't want it to be taken | hyacinth
The rampant carnage caresses you into a lengthy slumber | tom
Zipping up your eyelids | tom
ribbery: an addition of bones | a facility for the harvesting of bones | tomb
The inner class has deplorable associations | hyacinth
Don’t drown / It’s a gateway demise | hyacinth
I’ve taken the sequence of your soul | wesley
That kinda person deserves to die by ingestion of aluminum foil | dallas soup
Don’t drown; it’s a gateway demise | henry
Euphoria for the dying sunlight and all the things you used to know | tom
Hope, in its larval stage | hyacinth
We hope there's something there, we know there isn't | hyacinth
Sweet creation! You've got my attention | tom
